n_estimators,max_depth,no_of_features,train_accuracy,test_accuracy,selected_features
1,1,1,0.56,0.7857142857142857,['restecg']
1,1,1,0.5595,0.42857142857142855,['cp']
1,1,1,0.541,0.5714285714285714,['oldpeak']
1,1,1,0.551,0.5,['exang']
1,1,1,0.645,0.5714285714285714,['age']
1,1,1,0.541,0.5714285714285714,['oldpeak']
1,1,1,0.6145,0.5714285714285714,['thalach']
1,1,1,0.5595,0.42857142857142855,['cp']
1,1,1,0.5595,0.42857142857142855,['cp']
1,1,1,0.541,0.5714285714285714,['oldpeak']
1,1,1,0.6775,0.42857142857142855,['ca']
1,1,1,0.541,0.5714285714285714,['oldpeak']
1,1,1,0.6145,0.5714285714285714,['thalach']
1,1,1,0.6145,0.5714285714285714,['thalach']
1,1,1,0.519,0.5,['trestbps']
1,1,1,0.6775,0.42857142857142855,['ca']
1,1,1,0.527,0.42857142857142855,['sex']
1,1,1,0.527,0.42857142857142855,['sex']
1,1,1,0.56,0.7857142857142857,['restecg']
1,1,1,0.527,0.42857142857142855,['sex']
1,1,2,0.6775,0.42857142857142855,"['thal', 'ca']"
1,1,2,0.551,0.5,"['slope', 'exang']"
1,1,2,0.541,0.5714285714285714,"['trestbps', 'oldpeak']"
1,1,2,0.6145,0.5714285714285714,"['thal', 'thalach']"
1,1,2,0.551,0.5,"['restecg', 'exang']"
1,1,2,0.652,0.5,"['age', 'thal']"
1,1,2,0.645,0.5714285714285714,"['oldpeak', 'age']"
1,1,2,0.6775,0.42857142857142855,"['sex', 'ca']"
1,1,2,0.551,0.5,"['restecg', 'exang']"
1,1,2,0.519,0.5,"['oldpeak', 'trestbps']"
1,1,2,0.527,0.42857142857142855,"['cp', 'sex']"
1,1,2,0.548,0.5,"['trestbps', 'chol']"
1,1,2,0.548,0.5,"['cp', 'chol']"
1,1,2,0.519,0.5,"['cp', 'trestbps']"
1,1,2,0.6145,0.5714285714285714,"['trestbps', 'thalach']"
1,1,2,0.519,0.5,"['restecg', 'trestbps']"
1,1,2,0.5205,0.5714285714285714,"['ca', 'slope']"
1,1,2,0.5205,0.5714285714285714,"['sex', 'slope']"
1,1,2,0.551,0.5,"['slope', 'exang']"
1,1,2,0.5205,0.5714285714285714,"['trestbps', 'slope']"
1,1,3,0.645,0.5714285714285714,"['age', 'sex', 'exang']"
1,1,3,0.527,0.42857142857142855,"['sex', 'trestbps', 'thal']"
1,1,3,0.541,0.5714285714285714,"['oldpeak', 'restecg', 'chol']"
1,1,3,0.6775,0.42857142857142855,"['ca', 'thalach', 'cp']"
1,1,3,0.6145,0.5714285714285714,"['thalach', 'ca', 'exang']"
1,1,3,0.541,0.5714285714285714,"['oldpeak', 'sex', 'restecg']"
1,1,3,0.56,0.7857142857142857,"['restecg', 'chol', 'trestbps']"
1,1,3,0.56,0.7857142857142857,"['restecg', 'slope', 'thal']"
1,1,3,0.5505,0.5,"['fbs', 'oldpeak', 'slope']"
1,1,3,0.519,0.5,"['trestbps', 'oldpeak', 'sex']"
1,1,3,0.519,0.5,"['trestbps', 'ca', 'slope']"
1,1,3,0.5505,0.5,"['fbs', 'chol', 'slope']"
1,1,3,0.6775,0.42857142857142855,"['ca', 'oldpeak', 'thalach']"
1,1,3,0.645,0.5714285714285714,"['age', 'fbs', 'sex']"
1,1,3,0.5205,0.5714285714285714,"['slope', 'age', 'thalach']"
