n_estimators,max_depth,no_of_features,train_accuracy,test_accuracy,selected_features
1,1,1,0.5805,0.35714285714285715,['cp']
1,1,1,0.7665,0.9285714285714286,['oldpeak']
1,1,1,0.6055,0.7142857142857143,['chol']
1,1,1,0.7665,0.9285714285714286,['oldpeak']
1,1,1,0.533,0.21428571428571427,['trestbps']
1,1,1,0.5905,0.5,['thal']
1,1,1,0.713,0.5714285714285714,['slope']
1,1,1,0.5805,0.35714285714285715,['cp']
1,1,1,0.557,0.6428571428571429,['restecg']
1,1,1,0.6315,0.2857142857142857,['exang']
1,1,1,0.5615,0.7857142857142857,['age']
1,1,1,0.5615,0.7857142857142857,['age']
1,1,1,0.5905,0.5,['thal']
1,1,1,0.6055,0.7142857142857143,['chol']
1,1,1,0.7665,0.9285714285714286,['oldpeak']
1,1,1,0.5685,0.35714285714285715,['thalach']
1,1,1,0.7665,0.9285714285714286,['oldpeak']
1,1,1,0.533,0.21428571428571427,['trestbps']
1,1,1,0.633,0.2857142857142857,['sex']
1,1,1,0.513,0.7142857142857143,['fbs']
1,1,2,0.5615,0.7857142857142857,"['slope', 'age']"
1,1,2,0.533,0.21428571428571427,"['thalach', 'trestbps']"
1,1,2,0.633,0.2857142857142857,"['slope', 'sex']"
1,1,2,0.6055,0.7142857142857143,"['restecg', 'chol']"
1,1,2,0.5615,0.7857142857142857,"['oldpeak', 'age']"
1,1,2,0.513,0.7142857142857143,"['thalach', 'fbs']"
1,1,2,0.533,0.21428571428571427,"['slope', 'trestbps']"
1,1,2,0.713,0.5714285714285714,"['chol', 'slope']"
1,1,2,0.5685,0.35714285714285715,"['age', 'thalach']"
1,1,2,0.7665,0.9285714285714286,"['cp', 'oldpeak']"
1,1,2,0.633,0.2857142857142857,"['ca', 'sex']"
1,1,2,0.6055,0.7142857142857143,"['thal', 'chol']"
1,1,2,0.5905,0.5,"['cp', 'thal']"
1,1,2,0.7665,0.9285714285714286,"['slope', 'oldpeak']"
1,1,2,0.5805,0.35714285714285715,"['exang', 'cp']"
1,1,2,0.533,0.21428571428571427,"['thalach', 'trestbps']"
1,1,2,0.6315,0.2857142857142857,"['age', 'exang']"
1,1,2,0.7665,0.9285714285714286,"['trestbps', 'oldpeak']"
1,1,2,0.6055,0.7142857142857143,"['slope', 'chol']"
1,1,2,0.713,0.5714285714285714,"['fbs', 'slope']"
1,1,3,0.6055,0.7142857142857143,"['chol', 'fbs', 'age']"
1,1,3,0.633,0.2857142857142857,"['sex', 'oldpeak', 'thalach']"
1,1,3,0.5805,0.35714285714285715,"['cp', 'slope', 'chol']"
1,1,3,0.5685,0.35714285714285715,"['thalach', 'slope', 'oldpeak']"
1,1,3,0.5615,0.7857142857142857,"['age', 'cp', 'sex']"
1,1,3,0.5685,0.35714285714285715,"['thalach', 'chol', 'age']"
1,1,3,0.633,0.2857142857142857,"['sex', 'fbs', 'thal']"
1,1,3,0.6055,0.7142857142857143,"['chol', 'cp', 'oldpeak']"
1,1,3,0.5615,0.7857142857142857,"['age', 'restecg', 'thalach']"
1,1,3,0.6315,0.2857142857142857,"['exang', 'chol', 'restecg']"
1,1,3,0.6315,0.2857142857142857,"['exang', 'oldpeak', 'restecg']"
1,1,3,0.513,0.7142857142857143,"['fbs', 'slope', 'cp']"
1,1,3,0.533,0.21428571428571427,"['trestbps', 'thal', 'ca']"
1,1,3,0.7665,0.9285714285714286,"['oldpeak', 'exang', 'restecg']"
1,1,3,0.6055,0.7142857142857143,"['chol', 'restecg', 'thal']"
1,1,3,0.5905,0.5,"['thal', 'sex', 'restecg']"
1,1,3,0.7665,0.9285714285714286,"['oldpeak', 'slope', 'ca']"
1,1,3,0.5805,0.35714285714285715,"['cp', 'exang', 'thal']"
1,1,3,0.6315,0.2857142857142857,"['exang', 'chol', 'trestbps']"
1,1,3,0.633,0.2857142857142857,"['sex', 'thalach', 'restecg']"
1,1,4,0.7665,0.9285714285714286,"['fbs', 'slope', 'ca', 'oldpeak']"
1,1,4,0.6315,0.2857142857142857,"['sex', 'exang', 'oldpeak', 'chol']"
1,1,4,0.5615,0.7857142857142857,"['slope', 'restecg', 'fbs', 'age']"
1,1,4,0.633,0.2857142857142857,"['trestbps', 'thalach', 'exang', 'sex']"
1,1,4,0.713,0.5714285714285714,"['thal', 'slope', 'fbs', 'cp']"
1,1,4,0.533,0.21428571428571427,"['sex', 'fbs', 'oldpeak', 'trestbps']"
1,1,4,0.717,0.8571428571428571,"['exang', 'ca', 'oldpeak', 'sex']"
1,1,4,0.5615,0.7857142857142857,"['thalach', 'age', 'chol', 'cp']"
1,1,4,0.717,0.8571428571428571,"['restecg', 'thalach', 'exang', 'ca']"
1,1,4,0.7665,0.9285714285714286,"['ca', 'exang', 'thalach', 'oldpeak']"
1,1,4,0.633,0.2857142857142857,"['fbs', 'cp', 'age', 'sex']"
1,1,4,0.7665,0.9285714285714286,"['cp', 'oldpeak', 'thal', 'sex']"
1,1,4,0.6055,0.7142857142857143,"['fbs', 'restecg', 'thalach', 'chol']"
1,1,4,0.6315,0.2857142857142857,"['ca', 'restecg', 'oldpeak', 'exang']"
1,1,4,0.713,0.5714285714285714,"['age', 'slope', 'trestbps', 'exang']"
1,1,4,0.6315,0.2857142857142857,"['fbs', 'exang', 'slope', 'chol']"
1,1,4,0.713,0.5714285714285714,"['chol', 'slope', 'exang', 'sex']"
1,1,4,0.5805,0.35714285714285715,"['exang', 'trestbps', 'sex', 'cp']"
1,1,4,0.717,0.8571428571428571,"['cp', 'restecg', 'thal', 'ca']"
1,1,4,0.717,0.8571428571428571,"['thalach', 'ca', 'chol', 'sex']"
