n_estimators,max_depth,no_of_features,train_accuracy,test_accuracy,selected_features
1,1,5,0.636,0.7142857142857143,"['sex', 'cp', 'thalach', 'chol', 'exang']"
1,1,5,0.597,0.5714285714285714,"['ca', 'fbs', 'cp', 'thalach', 'slope']"
1,1,5,0.589,0.6071428571428571,"['ca', 'age', 'exang', 'fbs', 'thalach']"
1,1,5,0.6055,0.6071428571428571,"['slope', 'sex', 'thal', 'cp', 'restecg']"
1,1,5,0.537,0.5714285714285714,"['slope', 'ca', 'restecg', 'chol', 'sex']"
1,1,5,0.6055,0.6071428571428571,"['restecg', 'exang', 'thal', 'sex', 'cp']"
1,1,5,0.5705,0.6785714285714286,"['age', 'fbs', 'exang', 'sex', 'slope']"
1,1,5,0.5705,0.6785714285714286,"['exang', 'cp', 'chol', 'thalach', 'ca']"
1,1,5,0.597,0.5714285714285714,"['cp', 'age', 'sex', 'thal', 'oldpeak']"
1,1,5,0.589,0.6071428571428571,"['ca', 'sex', 'trestbps', 'exang', 'fbs']"
1,1,5,0.6305,0.6071428571428571,"['oldpeak', 'cp', 'fbs', 'chol', 'exang']"
1,1,6,0.6305,0.6071428571428571,"['trestbps', 'cp', 'chol', 'fbs', 'thal', 'restecg']"
1,1,6,0.597,0.5714285714285714,"['exang', 'thal', 'ca', 'cp', 'restecg', 'age']"
1,1,6,0.5495,0.35714285714285715,"['chol', 'age', 'exang', 'slope', 'ca', 'fbs']"
1,1,6,0.636,0.7142857142857143,"['restecg', 'sex', 'thal', 'thalach', 'trestbps', 'chol']"
1,1,6,0.589,0.6071428571428571,"['thal', 'restecg', 'exang', 'ca', 'cp', 'chol']"
1,1,6,0.589,0.6071428571428571,"['thal', 'sex', 'chol', 'ca', 'fbs', 'thalach']"
1,1,6,0.636,0.7142857142857143,"['slope', 'thalach', 'oldpeak', 'trestbps', 'ca', 'sex']"
1,1,6,0.537,0.5714285714285714,"['chol', 'restecg', 'age', 'sex', 'thal', 'cp']"
1,1,6,0.589,0.6071428571428571,"['oldpeak', 'ca', 'thal', 'exang', 'fbs', 'trestbps']"
1,1,6,0.589,0.6071428571428571,"['thalach', 'ca', 'fbs', 'age', 'sex', 'oldpeak']"
1,1,6,0.589,0.6071428571428571,"['thal', 'ca', 'thalach', 'slope', 'restecg', 'oldpeak']"
1,1,6,0.636,0.7142857142857143,"['sex', 'exang', 'restecg', 'thalach', 'fbs', 'ca']"
1,1,6,0.564,0.4642857142857143,"['thal', 'trestbps', 'restecg', 'chol', 'sex', 'oldpeak']"
1,1,6,0.6305,0.6071428571428571,"['chol', 'fbs', 'restecg', 'cp', 'sex', 'oldpeak']"
1,1,6,0.589,0.6071428571428571,"['trestbps', 'ca', 'restecg', 'thal', 'oldpeak', 'age']"
1,1,6,0.6055,0.6071428571428571,"['sex', 'thal', 'oldpeak', 'slope', 'restecg', 'ca']"
1,1,6,0.589,0.6071428571428571,"['chol', 'ca', 'exang', 'thal', 'cp', 'slope']"
1,1,6,0.589,0.6071428571428571,"['slope', 'ca', 'thalach', 'trestbps', 'thal', 'cp']"
1,1,6,0.597,0.5714285714285714,"['oldpeak', 'cp', 'chol', 'age', 'exang', 'restecg']"
1,1,6,0.6055,0.6071428571428571,"['exang', 'thal', 'fbs', 'age', 'cp', 'ca']"
1,1,7,0.6055,0.6071428571428571,"['thalach', 'cp', 'fbs', 'ca', 'restecg', 'chol', 'thal']"
1,1,7,0.6305,0.6071428571428571,"['chol', 'oldpeak', 'restecg', 'cp', 'exang', 'slope', 'fbs']"
1,1,7,0.5705,0.6785714285714286,"['restecg', 'fbs', 'ca', 'cp', 'exang', 'oldpeak', 'slope']"
1,1,7,0.636,0.7142857142857143,"['slope', 'ca', 'fbs', 'exang', 'thalach', 'oldpeak', 'cp']"
1,1,7,0.636,0.7142857142857143,"['fbs', 'age', 'trestbps', 'chol', 'sex', 'thal', 'thalach']"
1,1,7,0.636,0.7142857142857143,"['slope', 'trestbps', 'cp', 'age', 'thalach', 'oldpeak', 'restecg']"
1,1,7,0.564,0.4642857142857143,"['thalach', 'slope', 'oldpeak', 'chol', 'age', 'exang', 'trestbps']"
1,1,7,0.5495,0.35714285714285715,"['slope', 'sex', 'cp', 'thal', 'chol', 'restecg', 'age']"
1,1,7,0.636,0.7142857142857143,"['slope', 'trestbps', 'age', 'cp', 'thalach', 'thal', 'restecg']"
1,1,7,0.589,0.6071428571428571,"['trestbps', 'restecg', 'thal', 'oldpeak', 'sex', 'age', 'ca']"
1,1,7,0.6305,0.6071428571428571,"['cp', 'restecg', 'oldpeak', 'trestbps', 'thalach', 'chol', 'fbs']"
1,1,7,0.6305,0.6071428571428571,"['restecg', 'sex', 'exang', 'ca', 'chol', 'oldpeak', 'fbs']"
1,1,7,0.6305,0.6071428571428571,"['slope', 'oldpeak', 'trestbps', 'ca', 'fbs', 'chol', 'cp']"
1,1,7,0.597,0.5714285714285714,"['oldpeak', 'ca', 'restecg', 'sex', 'thal', 'thalach', 'cp']"
1,1,7,0.589,0.6071428571428571,"['cp', 'slope', 'thalach', 'oldpeak', 'ca', 'exang', 'sex']"
1,1,7,0.589,0.6071428571428571,"['thal', 'sex', 'age', 'trestbps', 'ca', 'slope', 'restecg']"
1,1,7,0.5705,0.6785714285714286,"['thalach', 'chol', 'cp', 'thal', 'exang', 'trestbps', 'restecg']"
1,1,7,0.6155,0.75,"['trestbps', 'ca', 'age', 'sex', 'oldpeak', 'thalach', 'thal']"
1,1,7,0.6055,0.6071428571428571,"['oldpeak', 'fbs', 'ca', 'thalach', 'age', 'cp', 'thal']"
1,1,7,0.6305,0.6071428571428571,"['ca', 'chol', 'age', 'slope', 'fbs', 'thal', 'trestbps']"
1,1,8,0.564,0.4642857142857143,"['fbs', 'oldpeak', 'slope', 'cp', 'exang', 'restecg', 'trestbps', 'ca']"
1,1,8,0.5355,0.5,"['trestbps', 'cp', 'thal', 'oldpeak', 'fbs', 'restecg', 'chol', 'exang']"
1,1,8,0.589,0.6071428571428571,"['sex', 'thal', 'restecg', 'chol', 'cp', 'slope', 'ca', 'trestbps']"
1,1,8,0.6055,0.6071428571428571,"['oldpeak', 'cp', 'sex', 'slope', 'chol', 'exang', 'thal', 'thalach']"
1,1,8,0.589,0.6071428571428571,"['fbs', 'oldpeak', 'slope', 'exang', 'thalach', 'restecg', 'ca', 'trestbps']"
