n_estimators,max_depth,no_of_features,train_accuracy,test_accuracy,selected_features
1,1,1,0.7014478282576135,0.6428571428571429,['ca']
1,1,1,0.5247129306040939,0.6071428571428571,['fbs']
1,1,1,0.5322016974538193,0.35714285714285715,['sex']
1,1,1,0.5322016974538193,0.35714285714285715,['sex']
1,1,1,0.5322016974538193,0.35714285714285715,['sex']
1,1,1,0.5247129306040939,0.6071428571428571,['fbs']
1,1,1,0.5247129306040939,0.6071428571428571,['fbs']
1,1,1,0.6140788816774838,0.5357142857142857,['age']
1,1,1,0.5796305541687469,0.39285714285714285,['restecg']
1,1,1,0.5841238142785822,0.5714285714285714,['thalach']
1,1,1,0.5581627558662007,0.6785714285714286,['exang']
1,1,1,0.5796305541687469,0.39285714285714285,['restecg']
1,1,1,0.5581627558662007,0.6785714285714286,['exang']
1,1,1,0.5796305541687469,0.39285714285714285,['restecg']
1,1,1,0.6140788816774838,0.5357142857142857,['age']
1,1,1,0.5936095856215676,0.6428571428571429,['slope']
1,1,1,0.6660009985022466,0.75,['oldpeak']
1,1,1,0.7014478282576135,0.6428571428571429,['ca']
1,1,1,0.5581627558662007,0.6785714285714286,['exang']
1,1,1,0.6660009985022466,0.75,['oldpeak']
1,1,2,0.564153769345981,0.39285714285714285,"['cp', 'trestbps']"
1,1,2,0.6295556665002496,0.5714285714285714,"['trestbps', 'cp']"
1,1,2,0.5322016974538193,0.35714285714285715,"['thalach', 'sex']"
1,1,2,0.6445332001997004,0.6071428571428571,"['cp', 'thal']"
1,1,2,0.5841238142785822,0.5714285714285714,"['fbs', 'thalach']"
1,1,2,0.6445332001997004,0.6071428571428571,"['exang', 'thal']"
1,1,2,0.5247129306040939,0.6071428571428571,"['trestbps', 'fbs']"
1,1,2,0.5671492760858712,0.5,"['thal', 'chol']"
1,1,2,0.6660009985022466,0.75,"['age', 'oldpeak']"
1,1,2,0.564153769345981,0.39285714285714285,"['cp', 'trestbps']"
1,1,2,0.5841238142785822,0.5714285714285714,"['age', 'thalach']"
1,1,2,0.5936095856215676,0.6428571428571429,"['fbs', 'slope']"
1,1,2,0.5936095856215676,0.6428571428571429,"['chol', 'slope']"
1,1,2,0.5247129306040939,0.6071428571428571,"['age', 'fbs']"
1,1,2,0.5671492760858712,0.5,"['slope', 'chol']"
1,1,2,0.6445332001997004,0.6071428571428571,"['cp', 'thal']"
1,1,2,0.5581627558662007,0.6785714285714286,"['trestbps', 'exang']"
1,1,2,0.5581627558662007,0.6785714285714286,"['restecg', 'exang']"
1,1,2,0.6140788816774838,0.5357142857142857,"['ca', 'age']"
1,1,2,0.7014478282576135,0.6428571428571429,"['sex', 'ca']"
1,1,3,0.5841238142785822,0.5714285714285714,"['thalach', 'trestbps', 'age']"
1,1,3,0.5322016974538193,0.35714285714285715,"['sex', 'thal', 'exang']"
1,1,3,0.5841238142785822,0.5714285714285714,"['thalach', 'trestbps', 'age']"
1,1,3,0.5671492760858712,0.5,"['chol', 'fbs', 'slope']"
1,1,3,0.5841238142785822,0.5714285714285714,"['thalach', 'slope', 'trestbps']"
1,1,3,0.6140788816774838,0.5357142857142857,"['age', 'exang', 'cp']"
1,1,3,0.5671492760858712,0.5,"['chol', 'exang', 'age']"
1,1,3,0.6660009985022466,0.75,"['oldpeak', 'fbs', 'slope']"
1,1,3,0.6445332001997004,0.6071428571428571,"['thal', 'exang', 'restecg']"
1,1,3,0.5936095856215676,0.6428571428571429,"['slope', 'thalach', 'cp']"
1,1,3,0.564153769345981,0.39285714285714285,"['trestbps', 'age', 'slope']"
1,1,3,0.6445332001997004,0.6071428571428571,"['thal', 'oldpeak', 'slope']"
1,1,3,0.5671492760858712,0.5,"['chol', 'sex', 'fbs']"
1,1,3,0.7014478282576135,0.6428571428571429,"['ca', 'exang', 'oldpeak']"
1,1,3,0.5796305541687469,0.39285714285714285,"['restecg', 'sex', 'oldpeak']"
1,1,3,0.5841238142785822,0.5714285714285714,"['thalach', 'trestbps', 'ca']"
1,1,3,0.6660009985022466,0.75,"['oldpeak', 'sex', 'ca']"
1,1,3,0.6295556665002496,0.5714285714285714,"['cp', 'restecg', 'sex']"
1,1,3,0.6660009985022466,0.75,"['oldpeak', 'sex', 'thalach']"
1,1,3,0.5936095856215676,0.6428571428571429,"['slope', 'cp', 'ca']"
1,1,4,0.5671492760858712,0.5,"['exang', 'chol', 'cp', 'sex']"
1,1,4,0.5841238142785822,0.5714285714285714,"['exang', 'age', 'restecg', 'thalach']"
1,1,4,0.6445332001997004,0.6071428571428571,"['trestbps', 'chol', 'sex', 'thal']"
1,1,4,0.6445332001997004,0.6071428571428571,"['restecg', 'thalach', 'chol', 'thal']"
1,1,4,0.6660009985022466,0.75,"['thal', 'oldpeak', 'slope', 'chol']"
1,1,4,0.7014478282576135,0.6428571428571429,"['exang', 'ca', 'restecg', 'sex']"
1,1,4,0.564153769345981,0.39285714285714285,"['exang', 'trestbps', 'sex', 'restecg']"
1,1,4,0.6660009985022466,0.75,"['age', 'oldpeak', 'sex', 'thal']"
1,1,4,0.7014478282576135,0.6428571428571429,"['exang', 'ca', 'cp', 'sex']"
1,1,4,0.6295556665002496,0.5714285714285714,"['restecg', 'cp', 'age', 'trestbps']"
1,1,4,0.6660009985022466,0.75,"['ca', 'thalach', 'exang', 'oldpeak']"
1,1,4,0.6445332001997004,0.6071428571428571,"['chol', 'age', 'sex', 'thal']"
1,1,4,0.6295556665002496,0.5714285714285714,"['sex', 'cp', 'thal', 'trestbps']"
1,1,4,0.7014478282576135,0.6428571428571429,"['cp', 'fbs', 'age', 'ca']"
1,1,4,0.7014478282576135,0.6428571428571429,"['trestbps', 'exang', 'oldpeak', 'ca']"
1,1,4,0.5936095856215676,0.6428571428571429,"['exang', 'chol', 'trestbps', 'slope']"
1,1,4,0.564153769345981,0.39285714285714285,"['sex', 'exang', 'chol', 'trestbps']"
1,1,4,0.7014478282576135,0.6428571428571429,"['trestbps', 'cp', 'slope', 'ca']"
1,1,4,0.6140788816774838,0.5357142857142857,"['thalach', 'age', 'oldpeak', 'chol']"
1,1,4,0.5841238142785822,0.5714285714285714,"['exang', 'thalach', 'ca', 'sex']"
1,1,5,0.7014478282576135,0.6428571428571429,"['oldpeak', 'fbs', 'ca', 'exang', 'restecg']"
1,1,5,0.6445332001997004,0.6071428571428571,"['thal', 'slope', 'cp', 'oldpeak', 'trestbps']"
1,1,5,0.5841238142785822,0.5714285714285714,"['fbs', 'restecg', 'thalach', 'chol', 'age']"
1,1,5,0.6140788816774838,0.5357142857142857,"['age', 'trestbps', 'fbs', 'sex', 'ca']"
1,1,5,0.7014478282576135,0.6428571428571429,"['ca', 'age', 'trestbps', 'thal', 'restecg']"
1,1,5,0.6660009985022466,0.75,"['cp', 'thal', 'oldpeak', 'chol', 'thalach']"
1,1,5,0.5936095856215676,0.6428571428571429,"['slope', 'exang', 'age', 'thalach', 'cp']"
1,1,5,0.5841238142785822,0.5714285714285714,"['thalach', 'exang', 'cp', 'chol', 'oldpeak']"
1,1,5,0.5936095856215676,0.6428571428571429,"['slope', 'cp', 'trestbps', 'fbs', 'ca']"
1,1,5,0.5936095856215676,0.6428571428571429,"['slope', 'exang', 'chol', 'thal', 'age']"
1,1,5,0.6140788816774838,0.5357142857142857,"['trestbps', 'sex', 'age', 'thal', 'slope']"
1,1,5,0.6660009985022466,0.75,"['trestbps', 'restecg', 'oldpeak', 'age', 'cp']"
1,1,5,0.5247129306040939,0.6071428571428571,"['restecg', 'thal', 'fbs', 'sex', 'trestbps']"
1,1,5,0.7014478282576135,0.6428571428571429,"['trestbps', 'cp', 'ca', 'exang', 'sex']"
1,1,5,0.6660009985022466,0.75,"['oldpeak', 'ca', 'restecg', 'fbs', 'age']"
1,1,5,0.6140788816774838,0.5357142857142857,"['age', 'slope', 'chol', 'trestbps', 'oldpeak']"
1,1,5,0.6295556665002496,0.5714285714285714,"['exang', 'trestbps', 'cp', 'fbs', 'restecg']"
1,1,5,0.5936095856215676,0.6428571428571429,"['slope', 'fbs', 'thal', 'cp', 'sex']"
1,1,5,0.7014478282576135,0.6428571428571429,"['chol', 'trestbps', 'ca', 'cp', 'age']"
1,1,5,0.5671492760858712,0.5,"['chol', 'thalach', 'fbs', 'ca', 'sex']"
1,1,6,0.564153769345981,0.39285714285714285,"['slope', 'trestbps', 'cp', 'sex', 'oldpeak', 'age']"
1,1,6,0.5936095856215676,0.6428571428571429,"['trestbps', 'slope', 'cp', 'fbs', 'chol', 'oldpeak']"
1,1,6,0.7014478282576135,0.6428571428571429,"['trestbps', 'restecg', 'slope', 'ca', 'oldpeak', 'thalach']"
1,1,6,0.6660009985022466,0.75,"['restecg', 'oldpeak', 'thalach', 'chol', 'fbs', 'sex']"
1,1,6,0.6660009985022466,0.75,"['exang', 'oldpeak', 'ca', 'slope', 'trestbps', 'sex']"
1,1,6,0.6660009985022466,0.75,"['trestbps', 'fbs', 'thalach', 'oldpeak', 'exang', 'restecg']"
1,1,6,0.5841238142785822,0.5714285714285714,"['thal', 'thalach', 'fbs', 'cp', 'restecg', 'sex']"
1,1,6,0.6295556665002496,0.5714285714285714,"['fbs', 'cp', 'ca', 'age', 'thalach', 'trestbps']"
1,1,6,0.6140788816774838,0.5357142857142857,"['exang', 'age', 'sex', 'fbs', 'ca', 'thal']"
1,1,6,0.6445332001997004,0.6071428571428571,"['chol', 'thal', 'slope', 'thalach', 'trestbps', 'exang']"
1,1,6,0.6445332001997004,0.6071428571428571,"['fbs', 'trestbps', 'cp', 'thal', 'restecg', 'ca']"
1,1,6,0.564153769345981,0.39285714285714285,"['cp', 'fbs', 'slope', 'trestbps', 'exang', 'thalach']"
1,1,6,0.5841238142785822,0.5714285714285714,"['cp', 'thalach', 'trestbps', 'sex', 'ca', 'thal']"
1,1,6,0.7014478282576135,0.6428571428571429,"['exang', 'oldpeak', 'slope', 'ca', 'age', 'trestbps']"
1,1,6,0.6445332001997004,0.6071428571428571,"['fbs', 'thalach', 'sex', 'thal', 'restecg', 'chol']"
1,1,6,0.6295556665002496,0.5714285714285714,"['chol', 'restecg', 'oldpeak', 'cp', 'exang', 'ca']"
1,1,6,0.6445332001997004,0.6071428571428571,"['restecg', 'age', 'ca', 'thal', 'cp', 'exang']"
1,1,6,0.7014478282576135,0.6428571428571429,"['age', 'ca', 'chol', 'fbs', 'thal', 'sex']"
1,1,6,0.6295556665002496,0.5714285714285714,"['exang', 'cp', 'oldpeak', 'fbs', 'thal', 'chol']"
1,1,6,0.6660009985022466,0.75,"['thal', 'oldpeak', 'fbs', 'trestbps', 'sex', 'thalach']"
1,1,7,0.5841238142785822,0.5714285714285714,"['oldpeak', 'sex', 'chol', 'trestbps', 'thalach', 'thal', 'age']"
1,1,7,0.5841238142785822,0.5714285714285714,"['oldpeak', 'exang', 'chol', 'restecg', 'sex', 'slope', 'thalach']"
1,1,7,0.5936095856215676,0.6428571428571429,"['age', 'oldpeak', 'cp', 'ca', 'slope', 'thal', 'chol']"
1,1,7,0.6660009985022466,0.75,"['ca', 'cp', 'sex', 'restecg', 'oldpeak', 'thalach', 'exang']"
1,1,7,0.7014478282576135,0.6428571428571429,"['age', 'restecg', 'cp', 'slope', 'exang', 'fbs', 'ca']"
1,1,7,0.6660009985022466,0.75,"['restecg', 'exang', 'ca', 'thalach', 'oldpeak', 'chol', 'slope']"
1,1,7,0.7014478282576135,0.6428571428571429,"['restecg', 'age', 'sex', 'exang', 'ca', 'oldpeak', 'thalach']"
1,1,7,0.7014478282576135,0.6428571428571429,"['exang', 'slope', 'sex', 'age', 'ca', 'chol', 'thal']"
1,1,7,0.6660009985022466,0.75,"['chol', 'trestbps', 'slope', 'fbs', 'oldpeak', 'ca', 'sex']"
1,1,7,0.5841238142785822,0.5714285714285714,"['cp', 'ca', 'thal', 'exang', 'trestbps', 'age', 'thalach']"
1,1,7,0.5671492760858712,0.5,"['slope', 'age', 'fbs', 'exang', 'chol', 'thal', 'trestbps']"
1,1,7,0.5247129306040939,0.6071428571428571,"['age', 'chol', 'exang', 'oldpeak', 'restecg', 'sex', 'fbs']"
1,1,7,0.7014478282576135,0.6428571428571429,"['exang', 'thalach', 'fbs', 'chol', 'ca', 'restecg', 'age']"
1,1,7,0.6445332001997004,0.6071428571428571,"['slope', 'fbs', 'cp', 'ca', 'thal', 'sex', 'exang']"
1,1,7,0.5936095856215676,0.6428571428571429,"['fbs', 'age', 'sex', 'chol', 'slope', 'thalach', 'trestbps']"
