n_estimators,max_depth,no_of_features,train_accuracy,test_accuracy,selected_features
1,1,1,0.5705,0.6785714285714286,['exang']
1,1,1,0.6155,0.75,['oldpeak']
1,1,1,0.5705,0.6785714285714286,['exang']
1,1,1,0.597,0.5714285714285714,['cp']
1,1,1,0.52,0.8214285714285714,['slope']
1,1,1,0.5705,0.6785714285714286,['exang']
1,1,1,0.636,0.7142857142857143,['thalach']
1,1,1,0.52,0.8214285714285714,['slope']
1,1,1,0.5705,0.6785714285714286,['exang']
1,1,1,0.6055,0.6071428571428571,['thal']
1,1,1,0.597,0.5714285714285714,['cp']
1,1,1,0.564,0.4642857142857143,['trestbps']
1,1,1,0.636,0.7142857142857143,['thalach']
1,1,1,0.5705,0.6785714285714286,['exang']
1,1,1,0.5565,0.35714285714285715,['sex']
1,1,1,0.6155,0.75,['oldpeak']
1,1,1,0.5705,0.6785714285714286,['exang']
1,1,1,0.5355,0.5,['chol']
1,1,1,0.6155,0.75,['oldpeak']
1,1,1,0.597,0.5714285714285714,['cp']
1,1,2,0.597,0.5714285714285714,"['age', 'cp']"
1,1,2,0.597,0.5714285714285714,"['restecg', 'cp']"
1,1,2,0.597,0.5714285714285714,"['thal', 'cp']"
1,1,2,0.5355,0.5,"['sex', 'chol']"
1,1,2,0.6055,0.6071428571428571,"['age', 'thal']"
1,1,2,0.5355,0.5,"['sex', 'chol']"
1,1,2,0.564,0.4642857142857143,"['slope', 'trestbps']"
1,1,2,0.537,0.5714285714285714,"['cp', 'restecg']"
1,1,2,0.6055,0.6071428571428571,"['ca', 'thal']"
1,1,2,0.537,0.5714285714285714,"['exang', 'restecg']"
1,1,2,0.52,0.8214285714285714,"['ca', 'slope']"
1,1,2,0.6055,0.6071428571428571,"['sex', 'thal']"
1,1,2,0.537,0.5714285714285714,"['ca', 'restecg']"
1,1,2,0.6305,0.6071428571428571,"['oldpeak', 'fbs']"
1,1,2,0.537,0.5714285714285714,"['oldpeak', 'restecg']"
1,1,2,0.589,0.6071428571428571,"['slope', 'ca']"
1,1,2,0.5355,0.5,"['oldpeak', 'chol']"
1,1,2,0.5495,0.35714285714285715,"['fbs', 'age']"
1,1,2,0.5705,0.6785714285714286,"['thalach', 'exang']"
1,1,2,0.537,0.5714285714285714,"['chol', 'restecg']"
1,1,3,0.6155,0.75,"['oldpeak', 'restecg', 'slope']"
1,1,3,0.5355,0.5,"['chol', 'oldpeak', 'thalach']"
1,1,3,0.597,0.5714285714285714,"['cp', 'exang', 'age']"
1,1,3,0.6155,0.75,"['oldpeak', 'ca', 'thal']"
1,1,3,0.6055,0.6071428571428571,"['thal', 'ca', 'cp']"
1,1,3,0.6055,0.6071428571428571,"['thal', 'fbs', 'slope']"
1,1,3,0.5355,0.5,"['chol', 'oldpeak', 'sex']"
1,1,3,0.5495,0.35714285714285715,"['age', 'trestbps', 'exang']"
1,1,3,0.597,0.5714285714285714,"['cp', 'exang', 'sex']"
1,1,3,0.589,0.6071428571428571,"['ca', 'trestbps', 'fbs']"
1,1,3,0.6305,0.6071428571428571,"['fbs', 'chol', 'age']"
1,1,3,0.597,0.5714285714285714,"['cp', 'exang', 'slope']"
1,1,3,0.6155,0.75,"['oldpeak', 'fbs', 'sex']"
1,1,3,0.5565,0.35714285714285715,"['sex', 'thal', 'thalach']"
1,1,3,0.597,0.5714285714285714,"['cp', 'slope', 'trestbps']"
1,1,3,0.589,0.6071428571428571,"['ca', 'exang', 'thalach']"
1,1,3,0.6155,0.75,"['oldpeak', 'sex', 'fbs']"
1,1,3,0.6305,0.6071428571428571,"['fbs', 'chol', 'sex']"
1,1,3,0.6155,0.75,"['oldpeak', 'thalach', 'age']"
1,1,3,0.5565,0.35714285714285715,"['sex', 'thalach', 'ca']"
1,1,4,0.6155,0.75,"['sex', 'oldpeak', 'chol', 'thal']"
1,1,4,0.597,0.5714285714285714,"['thalach', 'chol', 'thal', 'cp']"
1,1,4,0.5705,0.6785714285714286,"['thalach', 'chol', 'fbs', 'exang']"
1,1,4,0.6155,0.75,"['fbs', 'oldpeak', 'cp', 'slope']"
1,1,4,0.597,0.5714285714285714,"['oldpeak', 'cp', 'chol', 'ca']"
1,1,4,0.589,0.6071428571428571,"['age', 'ca', 'exang', 'restecg']"
1,1,4,0.564,0.4642857142857143,"['ca', 'restecg', 'oldpeak', 'trestbps']"
1,1,4,0.6055,0.6071428571428571,"['sex', 'thal', 'cp', 'chol']"
1,1,4,0.6305,0.6071428571428571,"['age', 'fbs', 'thalach', 'thal']"
1,1,4,0.597,0.5714285714285714,"['thalach', 'exang', 'oldpeak', 'cp']"
1,1,4,0.537,0.5714285714285714,"['oldpeak', 'slope', 'thal', 'restecg']"
1,1,4,0.589,0.6071428571428571,"['exang', 'restecg', 'sex', 'ca']"
1,1,4,0.636,0.7142857142857143,"['thal', 'thalach', 'slope', 'ca']"
1,1,4,0.6155,0.75,"['restecg', 'thal', 'ca', 'oldpeak']"
1,1,4,0.6155,0.75,"['slope', 'thal', 'cp', 'oldpeak']"
1,1,4,0.5355,0.5,"['restecg', 'chol', 'age', 'slope']"
1,1,4,0.589,0.6071428571428571,"['fbs', 'ca', 'thal', 'trestbps']"
1,1,4,0.5705,0.6785714285714286,"['thal', 'exang', 'ca', 'slope']"
1,1,4,0.6155,0.75,"['sex', 'cp', 'thal', 'oldpeak']"
1,1,4,0.6305,0.6071428571428571,"['oldpeak', 'thal', 'chol', 'fbs']"
1,1,5,0.6305,0.6071428571428571,"['fbs', 'thal', 'sex', 'thalach', 'slope']"
1,1,5,0.589,0.6071428571428571,"['slope', 'chol', 'ca', 'age', 'fbs']"
1,1,5,0.6055,0.6071428571428571,"['thal', 'sex', 'exang', 'restecg', 'cp']"
1,1,5,0.6055,0.6071428571428571,"['exang', 'thalach', 'thal', 'age', 'ca']"
1,1,5,0.6305,0.6071428571428571,"['age', 'slope', 'fbs', 'exang', 'chol']"
1,1,5,0.6155,0.75,"['sex', 'thalach', 'oldpeak', 'age', 'chol']"
1,1,5,0.597,0.5714285714285714,"['cp', 'trestbps', 'exang', 'restecg', 'slope']"
1,1,5,0.589,0.6071428571428571,"['ca', 'chol', 'slope', 'cp', 'trestbps']"
1,1,5,0.597,0.5714285714285714,"['slope', 'trestbps', 'cp', 'fbs', 'exang']"
1,1,5,0.597,0.5714285714285714,"['trestbps', 'oldpeak', 'cp', 'exang', 'thal']"
1,1,5,0.6155,0.75,"['oldpeak', 'thal', 'cp', 'slope', 'age']"
1,1,5,0.564,0.4642857142857143,"['trestbps', 'thal', 'sex', 'exang', 'restecg']"
1,1,5,0.6305,0.6071428571428571,"['restecg', 'ca', 'fbs', 'thalach', 'chol']"
1,1,5,0.6305,0.6071428571428571,"['trestbps', 'thalach', 'fbs', 'age', 'sex']"
1,1,5,0.636,0.7142857142857143,"['sex', 'slope', 'thalach', 'chol', 'oldpeak']"
1,1,5,0.6155,0.75,"['oldpeak', 'age', 'restecg', 'ca', 'chol']"
1,1,5,0.589,0.6071428571428571,"['thal', 'oldpeak', 'ca', 'sex', 'thalach']"
1,1,5,0.589,0.6071428571428571,"['thal', 'exang', 'ca', 'sex', 'oldpeak']"
1,1,5,0.5705,0.6785714285714286,"['exang', 'sex', 'age', 'chol', 'fbs']"
1,1,5,0.597,0.5714285714285714,"['sex', 'age', 'cp', 'trestbps', 'restecg']"
